"velocity:0","velocity:1","velocity:2","density","Cell Type"
-0.00035,2e-06,-0.00017,1.0002,12
-0.000162,8e-06,-0.000148,1.0003,12
-2.8e-05,1.1e-05,-6.2e-05,1.0002,12
-3.2e-05,-7e-06,6.7e-05,0.99979,12
-0.000183,-7e-06,0.000164,0.99974,12
-0.000397,-3e-06,0.000191,0.99976,12
-0.000591,0,0.000147,0.99983,12
-0.000705,0,5.4e-05,0.99994,12
-0.000705,-1e-06,-5.4e-05,1.0001,12
-0.000592,-1e-06,-0.000147,1.0002,12
-0.000397,2e-06,-0.000192,1.0002,12
-0.000183,7e-06,-0.000165,1.0003,12
-3.2e-05,7e-06,-6.7e-05,1.0002,12
-3.4e-05,-3e-06,6.8e-05,0.9998,12
-0.000191,-3e-06,0.000171,0.99975,12
-0.000417,-1e-06,0.0002,0.99976,12
-0.000622,-0,0.000154,0.99983,12
-0.000742,-0,5.7e-05,0.99994,12
-0.000742,-0,-5.7e-05,1.0001,12
-0.000623,0,-0.000154,1.0002,12
-0.000417,1e-06,-0.000201,1.0002,12
-0.000192,3e-06,-0.000171,1.0003,12
-3.3e-05,3e-06,-6.8e-05,1.0002,12
-3.4e-05,3e-06,6.8e-05,0.9998,12
-0.000191,3e-06,0.000171,0.99975,12
-0.000417,1e-06,0.0002,0.99976,12
-0.000622,0,0.000154,0.99983,12
-0.000742,0,5.7e-05,0.99994,12
-0.000742,0,-5.7e-05,1.0001,12
-0.000623,-0,-0.000154,1.0002,12
-0.000417,-1e-06,-0.000201,1.0002,12
-0.000192,-3e-06,-0.000171,1.0003,12
-3.3e-05,-3e-06,-6.8e-05,1.0002,12
-3.2e-05,7e-06,6.7e-05,0.99979,12
-0.000183,7e-06,0.000164,0.99974,12
-0.000397,3e-06,0.000191,0.99976,12
-0.000591,-0,0.000147,0.99983,12
-0.000705,-0,5.4e-05,0.99994,12
-0.000705,1e-06,-5.4e-05,1.0001,12
-0.000592,1e-06,-0.000147,1.0002,12
-0.000397,-2e-06,-0.000192,1.0002,12
